STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
de Normanville / Beaubien,Rosemont - La Petite-Patrie,45.5392025131359,-73.600015193224,St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.5295246656531,-73.604888767004,1745247461987,1745247839646
St-Urbain / Laurier,Le Plateau-Mont-Royal,45.5216461754412,-73.5936677455902,Ste-Famille / des Pins,Le Plateau-Mont-Royal,45.5128561793357,-73.5769280791283,1745248854050,1745249270246
Montcalm / de Maisonneuve,Ville-Marie,45.5191319671162,-73.5578896521474,Square Viger (Berri / Viger),Ville-Marie,45.5121682576952,-73.5548159480095,1745239582343,1745239904552
Marquette / des Carrières,Rosemont - La Petite-Patrie,45.5385945674416,-73.5886573791504,des Pins / St-Laurent,Le Plateau-Mont-Royal,45.515228128815,-73.5750961303711,1745241577153,1745242672725
de Bordeaux / Sherbrooke,Ville-Marie,45.5298179975859,-73.56293704368,McTavish / Sherbrooke,Ville-Marie,45.5027761586181,-73.575894087553,1745236026077,1745236704837
Alexandre-DeSève / Ontario,Ville-Marie,45.524378086614,-73.5605491697788,St-André / Ste-Catherine,Ville-Marie,45.5162975408496,-73.5580104589462,1745253970085,1745254576106
Métro Frontenac (Ontario / du Havre),Ville-Marie,45.5337059877989,-73.5521793365478,Montcalm / Ontario,Ville-Marie,45.5211049453087,-73.562293946743,1745241681068,1745242153991
St-Timothée / Ste-Catherine,Ville-Marie,45.5170563208812,-73.5577013716829,Robert-Bourassa / St-Maurice,Ville-Marie,45.4983704582895,-73.5605558753014,1745238613844,1745239486010
Duluth / de l'Esplanade,Le Plateau-Mont-Royal,45.5151322754258,-73.5810559988022,Milton / Durocher,Le Plateau-Mont-Royal,45.5081409594177,-73.5749298334122,1745251183028,1745251404345
Campus MIL (Thérèse-Lavoie Roux / Outremont),Outremont,45.5230551346741,-73.6181750893593,Pratt / Bates,Outremont,45.5169478236443,-73.6263155937195,1745245407358,1745245630219
4e avenue / de Verdun,Verdun,45.4568616293835,-73.5721234139237,Lanouette / de l'Église,Verdun,45.4633739332744,-73.5768342018127,1745231260220,1745231468927
Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,45.5230264766351,-73.6018404364586,Casgrain / Maguire,Le Plateau-Mont-Royal,45.5262176474985,-73.5957657695144,1745249880095,1745250211521
Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,45.5238445756922,-73.5523660183117,Wolfe / René-Lévesque,Ville-Marie,45.5168026122858,-73.5541608557833,1745250354981,1745250670464
Louis-Hémon / Beaubien,Rosemont - La Petite-Patrie,45.5468612570921,-73.5932097584009,Cartier / Rosemont,Rosemont - La Petite-Patrie,45.541247223706,-73.5910445451737,1745254660204,1745255004072
Ste-Catherine / Union,Ville-Marie,45.5037038778984,-73.5694152116776,Lincoln / du Fort,Ville-Marie,45.4930651186314,-73.5838267207146,1745254450950,1745255146056
Faillon / St-Denis,Villeray—Saint-Michel—Parc-Extension,45.5398908527814,-73.6202698945999,Maguire / Henri-Julien,Le Plateau-Mont-Royal,45.5270410960878,-73.5934705665568,1745251781724,1745253058176
de la Commune / King,Ville-Marie,45.4975037533838,-73.5528445243835,Charles-Biddle / Atwater,Le Sud-Ouest,45.4791373810011,-73.5751497745514,1745245405111,1745246632676
de Maisonneuve / Mansfield (sud),Ville-Marie,45.5020538640575,-73.57346534729,Peel / Ottawa,Le Sud-Ouest,45.4941995535705,-73.5599845647812,1745255809621,1745256273707
Aylmer / Sherbrooke,Le Plateau-Mont-Royal,45.506294568237,-73.5728269815445,Ste-Famille / des Pins,Le Plateau-Mont-Royal,45.5128561793357,-73.5769280791283,1745246951813,1745247361096
Milton / Hutchison,Le Plateau-Mont-Royal,45.5089591312988,-73.5742115136418,Garnier / Gilford,Le Plateau-Mont-Royal,45.5325067440398,-73.5801609651026,1745250170307,1745251471139
de Maisonneuve / Greene,Westmount,45.48697062,-73.58929306,Crescent / de Maisonneuve,Ville-Marie,45.4981204124733,-73.577595949173,1745250084794,1745250491747
